	age	job	marital	education	default	balance	housing	loan	contact	day	month	duration	campaign	pdays	previous	poutcome	y
42477	47	admin.	married	secondary	no	3676	no	no	cellular	15	jul	415	2	342	1	other	yes
23425	22	student	single	secondary	no	310	yes	no	cellular	6	may	903	2	355	1	other	no
16516	49	admin.	married	secondary	no	14440	yes	no	cellular	21	nov	60	1	-1	0	unknown	no
28916	60	retired	married	secondary	no	2086	yes	no	unknown	15	may	182	2	-1	0	unknown	no
15711	42	technician	divorced	tertiary	no	802	no	no	telephone	28	jan	119	2	-1	0	unknown	no
1172	46	services	married	secondary	no	9077	yes	no	cellular	17	apr	427	2	337	1	failure	no
33096	45	technician	married	tertiary	no	5110	no	no	cellular	22	apr	341	2	-1	0	unknown	yes
24634	39	management	divorced	tertiary	no	133	yes	no	unknown	28	may	136	2	-1	0	unknown	no
37984	31	management	single	tertiary	no	63	no	no	cellular	18	aug	161	7	-1	0	unknown	no
13117	33	management	married	tertiary	no	0	yes	no	cellular	9	jul	310	1	-1	0	unknown	no
2252	33	technician	single	secondary	no	18	no	no	cellular	22	aug	93	2	-1	0	unknown	no
14007	51	blue-collar	single	secondary	no	936	yes	no	unknown	27	may	253	16	-1	0	unknown	no
20796	37	technician	married	tertiary	no	6968	no	no	cellular	1	jun	175	1	-1	0	unknown	no
24737	55	technician	married	secondary	no	10185	no	no	cellular	11	aug	248	1	180	4	success	no
42003	51	entrepreneur	married	primary	no	4711	no	no	unknown	19	jun	253	1	-1	0	unknown	no
30907	35	technician	married	tertiary	no	118	no	no	cellular	6	aug	358	2	-1	0	unknown	no
43395	38	unknown	married	unknown	no	124	yes	no	unknown	20	may	37	13	-1	0	unknown	no
7981	57	retired	married	secondary	no	3783	yes	no	unknown	6	jun	198	3	-1	0	unknown	no
5391	37	technician	single	tertiary	no	1309	no	no	unknown	6	jun	442	2	-1	0	unknown	no
41778	33	blue-collar	single	primary	no	95	yes	no	unknown	7	may	102	1	-1	0	unknown	no
44749	37	blue-collar	married	secondary	no	934	no	no	unknown	9	may	258	2	-1	0	unknown	no
13127	41	blue-collar	married	primary	no	512	yes	no	unknown	6	may	233	2	-1	0	unknown	no
17710	32	blue-collar	single	secondary	no	232	no	no	unknown	13	dec	232	1	-1	0	unknown	no
40910	31	technician	single	tertiary	no	665	yes	no	cellular	4	feb	156	1	-1	0	unknown	no
44316	32	technician	single	secondary	no	258	no	no	unknown	3	jun	114	3	-1	0	unknown	no
